chromosome	start	end	total_cn
chr22	40368838	40368839	2
chr20	8856600	8856601	2
chr4	165160445	165160446	2
chr16	56504967	56504968	2
chr17	55372490	55372491	2
chr16	57334748	57334749	2
chr13	42787742	42787743	2
chr11	12256731	12256732	2
chr18	40284104	40284105	2
chr2	166369292	166369293	2
chr8	138244529	138244530	2
chr11	2266955	2266956	2
chr4	178480135	178480136	2
chr6	51219348	51219349	2
chr19	55694325	55694326	2
chr3	139618016	139618017	2
chr14	84194330	84194331	2
chr16	86618241	86618242	2
chr17	45277872	45277873	2
chr18	25675729	25675730	2
chr16	62083580	62083581	2
chr21	16870168	16870169	2
chr19	53431858	53431859	2
chr3	118339496	118339497	2
chr12	51800738	51800739	2
chr11	38965245	38965246	2
chr12	38154687	38154688	2
chr16	85653511	85653512	2
chr20	14905913	14905914	2
chr2	224497821	224497822	2
chr1	72784338	72784339	2
chr5	101163868	101163869	2
chr10	70797513	70797514	2
chr21	27481056	27481057	2
chr3	179024353	179024354	2
chr4	153319286	153319287	2
chr17	49673562	49673563	2
chr15	67112090	67112091	2
chr14	46696705	46696706	2
chr1	31709593	31709594	2
chr13	23879755	23879756	2
chr13	31209042	31209043	2
chr21	17452269	17452270	2
chr8	97618763	97618764	2
chr10	103472280	103472281	2
chr17	41778368	41778369	2
chr15	49422067	49422068	2
chr8	142756127	142756128	2
chr3	136189057	136189058	2
chr12	52915934	52915935	2
chr4	105078331	105078332	2
chr4	105183957	105183958	2
chr6	32814376	32814377	2
chr18	36849488	36849489	2
chr1	102757238	102757239	2
chr2	184756888	184756889	2
chr13	69331905	69331906	2
chr6	19703772	19703773	2
chr10	110332396	110332397	2
chr14	98006580	98006581	2
chr7	11747894	11747895	2
chr7	20347457	20347458	2
chr16	54872426	54872427	2
chr6	14754221	14754222	2
chr22	48328360	48328361	2
chr2	162857616	162857617	2
chr4	190920180	190920181	2
chr4	161232316	161232317	2
chr17	36414615	36414616	2
chr12	41028007	41028008	2
chr18	20132389	20132390	2
chr1	38317681	38317682	2
chr2	229029406	229029407	2
chr18	22424184	22424185	2
chr13	27719561	27719562	2
chr21	16314616	16314617	2
chr17	39813779	39813780	2
chr4	78867714	78867715	2
chr8	132546827	132546828	2
chr1	60564035	60564036	2
chr16	77012567	77012568	2
chr20	4827368	4827369	2
chr6	44031596	44031597	2
chr6	29860701	29860702	2
chr8	93537029	93537030	2
chr17	36106345	36106346	2
chr3	140273800	140273801	2
chr16	55754020	55754021	2
chr16	74176644	74176645	2
chr16	71053805	71053806	2
chr7	24547825	24547826	2
chr12	52263155	52263156	2
chr22	47700504	47700505	2
chr22	42190293	42190294	2
chr1	94406376	94406377	2
chr3	166397279	166397280	2
chr19	52045568	52045569	2
chr14	67055092	67055093	2
chr12	80333375	80333376	2
chr22	23437041	23437042	2
chr11	32066409	32066410	2
chr15	61277461	61277462	2
chr6	19683941	19683942	2
chr3	171259216	171259217	2
chr17	54893281	54893282	2
chr6	26164314	26164315	2
chr10	90992872	90992873	2
chr22	41057675	41057676	2
chr9	112122987	112122988	2
chr4	136694997	136694998	2
chr13	27401281	27401282	2
chr20	12327817	12327818	2
chr2	192606567	192606568	2
chr2	182911910	182911911	2
chr22	25611989	25611990	2
chr8	103522152	103522153	2
chr2	219497416	219497417	2
chr8	131462813	131462814	2
chr21	18128260	18128261	2
chr14	94312991	94312992	2
chr16	63394746	63394747	2
chr15	53503464	53503465	2
chr12	55243750	55243751	2
chr19	50389837	50389838	2
chr7	34853265	34853266	2
chr8	121742036	121742037	2
chr8	100365627	100365628	2
chr13	50677259	50677260	2
chr12	42201820	42201821	2
chr14	22176598	22176599	2
chr2	191891574	191891575	2
chr9	129966851	129966852	2
chr21	15446123	15446124	2
chr19	47415368	47415369	2
chr16	79540153	79540154	2
chr11	31389551	31389552	2
chr9	124590967	124590968	2
chr8	92972440	92972441	2
chr21	31606142	31606143	2
chr14	106033658	106033659	2
chr18	48903072	48903073	2
chr21	26158454	26158455	2
chr21	30826878	30826879	2
chr4	165516371	165516372	2
chr14	94645164	94645165	2
chr9	129747819	129747820	2
chr1	58572128	58572129	2
chr19	52768363	52768364	2
chr21	18517928	18517929	2
chr12	102456162	102456163	2
chr9	119043434	119043435	2
chr2	152995452	152995453	2
chr3	167140984	167140985	2
chr15	79740024	79740025	2
chr9	126768494	126768495	2
chr20	3745995	3745996	2
chr10	83015271	83015272	2
chr18	32352034	32352035	2
chr19	53871180	53871181	2
chr10	105882393	105882394	2
chr3	135353626	135353627	2
chr1	84182255	84182256	2
chr17	42659274	42659275	2
chr5	93718383	93718384	2
chr12	48042084	48042085	2
chr15	65264568	65264569	2
chr11	36748120	36748121	2
chr4	150226546	150226547	2
chr5	98237013	98237014	2
chr20	21175440	21175441	2
chr22	32863908	32863909	2
chr16	47092062	47092063	2
chr10	78574732	78574733	2
chr4	170238300	170238301	2
chr7	39759682	39759683	2
chr3	170290257	170290258	2
chr19	55184268	55184269	2
chr21	20859841	20859842	2
chr11	45435777	45435778	2
chr20	4277281	4277282	2
chr10	107756596	107756597	2
chr12	50143830	50143831	2
chr20	20336575	20336576	2
chr15	47496564	47496565	2
chr16	83373228	83373229	2
chr20	17049818	17049819	2
chr6	26530539	26530540	2
chr19	48297791	48297792	2
chr22	24625046	24625047	2
chr11	13067646	13067647	2
chr22	22284043	22284044	2
chr18	25621574	25621575	2
chr20	24281041	24281042	2
chr14	60250502	60250503	2
chr17	43323094	43323095	2
chr19	33412948	33412949	2
chr17	54387915	54387916	2
chr7	38903458	38903459	2
chr13	39135268	39135269	2
chr8	135867473	135867474	2
chr8	126039710	126039711	2
chr10	64565904	64565905	2
chr15	53475029	53475030	2
chr2	169469944	169469945	2
chr1	95442809	95442810	2
chr14	30644203	30644204	2
chr16	53585140	53585141	2
chr5	110378852	110378853	2
chr9	100021696	100021697	2
chr2	151747198	151747199	2
chr7	10828887	10828888	2
chr4	182187027	182187028	2
chr2	207216539	207216540	2
chr1	69456387	69456388	2
chr6	57645556	57645557	2
chr16	78951086	78951087	2
chr14	42676951	42676952	2
chr3	140696199	140696200	2
chr6	55551608	55551609	2
chr7	40588403	40588404	2
chr18	34973717	34973718	2
chr4	149923718	149923719	2
chr20	10770424	10770425	2
chr3	139559979	139559980	2
chr7	17159658	17159659	2
chr17	50500846	50500847	2
chr7	6203424	6203425	2
chr14	21855550	21855551	2
chr13	22562154	22562155	2
chr15	29388661	29388662	2
chr7	17183934	17183935	2
chr16	71967499	71967500	2
chr5	104021264	104021265	2
chr1	80710606	80710607	2
chr14	28129132	28129133	2
chr20	4174996	4174997	2
chr1	41802277	41802278	2
chr14	20385787	20385788	2
chr2	197912752	197912753	2
chr1	31646142	31646143	2
chr22	29030970	29030971	2
chr15	44794563	44794564	2
chr8	101474891	101474892	2
chr10	100082396	100082397	2
chr16	59775204	59775205	2
chr19	49445744	49445745	2
chr4	162526509	162526510	2
chr18	32324309	32324310	2
chr4	91038200	91038201	2
chr4	160431767	160431768	2
chr18	19050329	19050330	2
chr15	35018591	35018592	2
chr5	98477485	98477486	2
chr6	52948181	52948182	2
chr3	185298785	185298786	2
chr9	97260998	97260999	2
chr22	34274943	34274944	2
chr8	127767092	127767093	2
chr5	114559096	114559097	2
chr3	157807020	157807021	2
chr3	185247117	185247118	2
chr5	96162688	96162689	2
chr1	73001063	73001064	2
chr14	31010316	31010317	2
chr9	105033096	105033097	2
chr14	29535579	29535580	2
chr2	188492367	188492368	2
chr6	52314541	52314542	2
chr9	119636754	119636755	2
chr5	134594430	134594431	2
chr18	26418678	26418679	2
chr16	57788551	57788552	2
chr13	83699178	83699179	2
chr3	131574190	131574191	2
chr17	49646001	49646002	2
chr3	134682451	134682452	2
chr6	1550541	1550542	2
chr15	71449143	71449144	2
chr14	77558911	77558912	2
chr5	104244498	104244499	2
chr6	4410366	4410367	2
chr15	30581547	30581548	2
chr16	60524382	60524383	2
chr19	32025759	32025760	2
chr16	73409940	73409941	2
chr19	33983332	33983333	2
chr4	103820415	103820416	2
chr16	76055687	76055688	2
chr19	52296947	52296948	2
chr6	6174649	6174650	2
chr7	11423876	11423877	2
chr1	90927182	90927183	2
chr21	28543880	28543881	2
chr9	120164164	120164165	2
chr13	20895750	20895751	2
chr5	98477803	98477804	2
chr21	32500378	32500379	2
chr20	5101766	5101767	2
chr16	80109201	80109202	2
chr13	42424329	42424330	2
chr19	52813796	52813797	2
chr15	35431351	35431352	2
chr4	157253406	157253407	2
chr15	80485761	80485762	2
chr13	64116560	64116561	2
chr21	32087247	32087248	2
chr21	21772515	21772516	2
chr10	108472558	108472559	2
chr11	2656144	2656145	2
chr6	7724456	7724457	2
chr19	37543087	37543088	2
chr8	120787380	120787381	2
chr8	102885824	102885825	2
chr17	41247281	41247282	2
chr20	21472492	21472493	2
chr22	38941869	38941870	2
chr11	18400289	18400290	2
chr22	22625828	22625829	2
chr4	93580835	93580836	2
chr5	116965744	116965745	2
chr8	109780828	109780829	2
chr3	163068040	163068041	2
chr14	46743810	46743811	2
chr18	40645259	40645260	2
chr7	29331154	29331155	2
chr18	19367657	19367658	2
chr9	125324185	125324186	2
chr13	34042960	34042961	2
chr8	93145692	93145693	2
chr14	38585414	38585415	2
chr21	19983564	19983565	2
chr21	23566213	23566214	2
chr4	107605957	107605958	2
chr17	51940067	51940068	2
chr22	46366570	46366571	2
chr8	96595863	96595864	2
chr16	69754716	69754717	2
chr1	77996684	77996685	2
chr5	117474667	117474668	2
chr20	1624291	1624292	2
chr19	30174794	30174795	2
chr21	19097645	19097646	2
chr1	42749610	42749611	2
chr16	71819035	71819036	2
chr16	80645742	80645743	2
chr22	43893368	43893369	2
chr2	180000173	180000174	2
chr8	113100387	113100388	2
chr8	135295094	135295095	2
chr7	10991709	10991710	2
chr11	4419021	4419022	2
chr2	178781584	178781585	2
chr1	33801436	33801437	2
chr14	102030154	102030155	2
chr13	37376309	37376310	2
chr19	57662057	57662058	2
chr16	75095543	75095544	2
chr15	49804691	49804692	2
chr19	48341701	48341702	2
chr11	11137142	11137143	2
chr8	124176518	124176519	2
chr19	33865866	33865867	2
chr21	27046459	27046460	2
chr6	37949262	37949263	2
chr11	8235510	8235511	2
chr13	86324173	86324174	2
chr4	133741823	133741824	2
chr6	44835250	44835251	2
chr2	173212371	173212372	2
chr12	38715441	38715442	2
chr12	98200420	98200421	2
chr18	49780878	49780879	2
chr19	47476392	47476393	2
chr19	52454080	52454081	2
chr20	20841207	20841208	2
chr6	56780048	56780049	2
chr11	32085172	32085173	2
chr12	93667096	93667097	2
chr14	31480029	31480030	2
chr3	169151826	169151827	2
chr5	137334757	137334758	2
chr21	30249596	30249597	2
chr22	40865321	40865322	2
chr10	80184860	80184861	2
chr21	21563274	21563275	2
chr20	12647006	12647007	2
chr9	106879252	106879253	2
chr15	78068178	78068179	2
chr17	50270258	50270259	2
chr18	19426860	19426861	2
chr22	29331241	29331242	2
chr12	84851878	84851879	2
chr17	60365405	60365406	2
chr17	54307841	54307842	2
chr2	204530037	204530038	2
chr16	58500509	58500510	2
chr16	46528741	46528742	2
chr16	66790688	66790689	2
chr1	33147304	33147305	2
chr18	49958730	49958731	2
chr17	59298557	59298558	2
chr19	47278962	47278963	2
chr6	57963535	57963536	2
chr12	62099731	62099732	2
chr5	108450551	108450552	2
chr22	21839910	21839911	2
chr5	122471562	122471563	2
chr9	114821808	114821809	2
chr17	59037093	59037094	2
chr20	17948561	17948562	2
chr12	51061085	51061086	2
chr7	18080795	18080796	2
chr20	8909527	8909528	2
chr15	53047666	53047667	2
chr22	32864894	32864895	2
chr12	52946320	52946321	2
chr4	139718397	139718398	2
chr5	94838781	94838782	2
chr9	112309004	112309005	2
chr14	81361316	81361317	2
chr3	185008919	185008920	2
chr12	57349269	57349270	2
chr22	31314001	31314002	2
chr5	117473294	117473295	2
chr7	11165807	11165808	2
chr4	156191605	156191606	2
chr4	162361712	162361713	2
chr3	144106431	144106432	2
chr13	43404346	43404347	2
chr9	113056676	113056677	2
chr18	44805764	44805765	2
chr10	87357467	87357468	2
chr13	34504447	34504448	2
chr11	19712498	19712499	2
chr11	49244164	49244165	2
chr17	42129947	42129948	2
chr11	6144036	6144037	2
chr12	100771986	100771987	2
chr21	26151655	26151656	2
chr18	33812321	33812322	2
chr14	71388853	71388854	2
chr7	35446650	35446651	2
chr8	124032518	124032519	2
chr6	7915770	7915771	2
chr11	46392611	46392612	2
chr10	114865393	114865394	2
chr5	95016308	95016309	2
chr10	94038447	94038448	2
chr20	3043779	3043780	2
chr8	96569886	96569887	2
chr21	31878333	31878334	2
chr2	214852086	214852087	2
chr19	53576703	53576704	2
chr2	178479222	178479223	2
chr1	62233806	62233807	2
chr4	83056639	83056640	2
chr12	68117815	68117816	2
chr5	128224085	128224086	2
chr1	100429634	100429635	2
chr9	108516303	108516304	2
chr16	46598304	46598305	2
chr16	55184082	55184083	2
chr1	95518859	95518860	2
chr2	179026058	179026059	2
chr18	48432382	48432383	2
chr16	84405908	84405909	2
chr19	57074737	57074738	2
chr1	41641704	41641705	2
chr9	119301346	119301347	2
chr17	48106577	48106578	2
chr14	102864220	102864221	2
chr15	49150842	49150843	2
chr7	18988548	18988549	2
chr16	50624232	50624233	2
chr10	107726334	107726335	2
chr9	95428828	95428829	2
chr17	52143938	52143939	2
chr20	13245261	13245262	2
chr11	50603753	50603754	2
chr8	112414514	112414515	2
chr19	34925210	34925211	2
chr22	30423759	30423760	2
chr11	43673295	43673296	2
chr13	36009982	36009983	2
chr7	9598251	9598252	2
chr1	46968994	46968995	2
chr2	219451239	219451240	2
chr20	18673700	18673701	2
chr22	27961127	27961128	2
chr20	25970887	25970888	2
chr9	114996519	114996520	2
chr4	89197078	89197079	2
chr4	110935469	110935470	2
chr13	64019879	64019880	2
chr5	115256314	115256315	2
chr19	28763031	28763032	2
chr22	47074083	47074084	2
chr14	88146893	88146894	2
chr14	39747878	39747879	2
chr11	4804357	4804358	2
chr21	25488416	25488417	2
chr6	13843404	13843405	2
chr14	81672513	81672514	2
chr9	107909186	107909187	2
chr5	135565368	135565369	2
chr22	23872161	23872162	2
chr3	140860954	140860955	2
chr6	54537729	54537730	2
chr9	119099478	119099479	2
chr17	52779963	52779964	2
chr20	24801950	24801951	2
chr4	115255322	115255323	2
chr7	15071891	15071892	2
chr9	112626512	112626513	2
chr5	136976388	136976389	2
chr9	121139518	121139519	2
chr9	107485240	107485241	2
chr18	26098738	26098739	2
chr4	114799492	114799493	2
chr2	172064182	172064183	2
chr13	63695631	63695632	2
chr11	32819252	32819253	2
chr6	35817383	35817384	2
chr11	19714887	19714888	2
chr13	84514807	84514808	2
chr12	43884629	43884630	2
chr7	37856303	37856304	2
chr4	79711579	79711580	2
chr16	58626489	58626490	2
chr1	42259486	42259487	2
chr13	51092630	51092631	2
chr13	76522323	76522324	2
chr19	55816997	55816998	2
chr7	1767494	1767495	2
chr16	56157782	56157783	2
chr12	62460053	62460054	2
chr8	141417448	141417449	2
chr15	79516755	79516756	2
chr18	31197182	31197183	2
chr1	42678617	42678618	2
chr17	61559139	61559140	2
chr20	618904	618905	2
chr20	24500119	24500120	2
chr3	186304797	186304798	2
chr2	175193032	175193033	2
chr9	112039587	112039588	2
chr6	19944262	19944263	2
chr6	37880579	37880580	2
chr14	71415886	71415887	2
chr12	73553227	73553228	2
chr1	71919739	71919740	2
chr9	107231723	107231724	2
chr5	111374262	111374263	2
chr3	178802967	178802968	2
chr11	20541920	20541921	2
chr9	132139008	132139009	2
chr2	157532986	157532987	2
chr14	82947962	82947963	2
chr2	155786909	155786910	2
chr13	27148837	27148838	2
chr7	12116750	12116751	2
chr7	40857797	40857798	2
chr10	107381672	107381673	2
chr2	196920252	196920253	2
chr13	48045132	48045133	2
chr4	136342323	136342324	2
chr22	27135254	27135255	2
chr5	136580196	136580197	2
chr15	54130806	54130807	2
chr12	71539672	71539673	2
chr10	104240975	104240976	2
chr16	51039884	51039885	2
chr14	46819070	46819071	2
chr1	44243624	44243625	2
chr19	37254533	37254534	2
chr10	103960948	103960949	2
chr16	61436262	61436263	2
chr1	57851103	57851104	2
chr8	133490833	133490834	2
chr7	10182807	10182808	2
chr19	54191088	54191089	2
chr4	163432680	163432681	2
chr4	103207754	103207755	2
chr20	12709965	12709966	2
chr8	101174681	101174682	2
chr14	65019682	65019683	2
chr4	127524636	127524637	2
chr9	113040910	113040911	2
chr1	68561045	68561046	2
chr2	208004408	208004409	2
chr9	113538565	113538566	2
chr13	30707562	30707563	2
chr2	200879888	200879889	2
chr7	31197945	31197946	2
chr3	181868940	181868941	2
chr12	94403829	94403830	2
chr16	71155939	71155940	2
chr15	40110733	40110734	2
chr2	154689392	154689393	2
chr3	123212341	123212342	2
chr16	47964708	47964709	2
chr14	58741973	58741974	2
chr5	133200820	133200821	2
chr19	39551595	39551596	2
chr13	37748547	37748548	2
chr16	57683251	57683252	2
chr20	8873740	8873741	2
chr3	127537621	127537622	2
chr1	52848854	52848855	2
chr22	30492416	30492417	2
chr14	49492632	49492633	2
chr2	199034778	199034779	2
chr2	216676647	216676648	2
chr10	97110079	97110080	2
chr16	62944341	62944342	2
chr10	74325618	74325619	2
chr10	94167004	94167005	2
chr21	18981737	18981738	2
chr11	40405953	40405954	2
chr19	43175200	43175201	2
chr16	61740525	61740526	2
chr14	21364139	21364140	2
chr18	44959809	44959810	2
chr6	39503428	39503429	2
chr1	69792238	69792239	2
chr5	109632051	109632052	2
chr14	62888630	62888631	2
chr8	92207965	92207966	2
chr18	32608012	32608013	2
chr4	145320496	145320497	2
chr14	23738736	23738737	2
chr14	100812807	100812808	2
chr4	105732086	105732087	2
chr3	165631939	165631940	2
chr4	129394708	129394709	2
chr4	130098890	130098891	2
chr14	95152264	95152265	2
chr10	73624686	73624687	2
chr8	106674153	106674154	2
chr11	23482154	23482155	2
chr15	59721257	59721258	2
chr1	58086805	58086806	2
chr16	64572677	64572678	2
chr12	66424590	66424591	2
chr8	112901717	112901718	2
chr16	74773246	74773247	2
chr8	93522763	93522764	2
chr9	125385223	125385224	2
chr15	29970460	29970461	2
chr21	20482165	20482166	2
chr3	143735134	143735135	2
chr11	49226453	49226454	2
chr16	66270512	66270513	2
chr6	54794685	54794686	2
chr5	114515927	114515928	2
chr19	36471699	36471700	2
chr2	203881824	203881825	2
chr1	84275396	84275397	2
chr12	58785845	58785846	2
chr22	34082212	34082213	2
chr4	180051094	180051095	2
chr10	75294279	75294280	2
chr18	30573741	30573742	2
chr12	70296461	70296462	2
chr17	39438707	39438708	2
chr17	59648830	59648831	2
chr17	43405641	43405642	2
chr4	96109650	96109651	2
chr6	51465804	51465805	2
chr14	58983670	58983671	2
chr12	49202190	49202191	2
chr15	48629079	48629080	2
chr5	130481193	130481194	2
chr9	103566344	103566345	2
chr18	34098753	34098754	2
chr8	111498520	111498521	2
chr14	30648931	30648932	2
chr15	35059497	35059498	2
chr10	94739812	94739813	2
chr16	51769183	51769184	2
chr17	39852633	39852634	2
chr1	83780029	83780030	2
chr12	47484700	47484701	2
chr9	119391514	119391515	2
chr8	90117790	90117791	2
chr3	178334045	178334046	2
chr21	14408261	14408262	2
chr9	106281530	106281531	2
chr7	35073952	35073953	2
chr1	83087031	83087032	2
chr8	93648312	93648313	2
chr20	11024457	11024458	2
chr17	39046116	39046117	2
chr22	44853848	44853849	2
chr11	2740804	2740805	2
chr20	7916677	7916678	2
chr6	28641437	28641438	2
chr13	58411693	58411694	2
chr8	132628738	132628739	2
chr15	75035600	75035601	2
chr11	25775124	25775125	2
chr1	40252973	40252974	2
chr11	47161503	47161504	2
chr12	45634280	45634281	2
chr19	37333482	37333483	2
chr7	28450433	28450434	2
chr6	2669278	2669279	2
chr15	54578455	54578456	2
chr4	97414540	97414541	2
chr3	175557579	175557580	2
chr22	31966099	31966100	2
chr12	92811958	92811959	2
chr9	101971556	101971557	2
chr1	74058308	74058309	2
chr21	26733967	26733968	2
chr15	79072304	79072305	2
chr8	142636310	142636311	2
chr7	12399879	12399880	2
chr1	66494323	66494324	2
chr2	151541399	151541400	2
chr16	77737828	77737829	2
chr11	50448827	50448828	2
chr9	114306704	114306705	2
chr20	19941843	19941844	2
chr16	83622427	83622428	2
chr12	54634407	54634408	2
chr12	97049850	97049851	2
chr20	7086528	7086529	2
chr22	29939885	29939886	2
chr5	108637423	108637424	2
chr4	84475154	84475155	2
chr19	30024371	30024372	2
chr20	11652097	11652098	2
chr11	11757697	11757698	2
chr2	189277213	189277214	2
chr13	69472324	69472325	2
chr21	25457619	25457620	2
chr17	45524637	45524638	2
chr14	42055192	42055193	2
chr13	47645867	47645868	2
chr20	17797629	17797630	2
chr4	124913145	124913146	2
chr6	24038789	24038790	2
chr1	80725014	80725015	2
chr15	62966474	62966475	2
chr18	42368018	42368019	2
chr15	50002422	50002423	2
chr1	101334640	101334641	2
chr15	30521942	30521943	2
chr14	22054934	22054935	2
chr6	15298786	15298787	2
chr21	14429186	14429187	2
chr14	101365873	101365874	2
chr19	35286578	35286579	2
chr3	150821215	150821216	2
chr3	193020487	193020488	2
chr16	50979684	50979685	2
chr18	43796417	43796418	2
chr10	108899533	108899534	2
chr5	107979822	107979823	2
chr13	31485571	31485572	2
chr10	87218333	87218334	2
chr17	57317133	57317134	2
chr16	78393889	78393890	2
chr4	130463613	130463614	2
chr8	97477827	97477828	2
chr7	617262	617263	2
chr22	25115620	25115621	2
chr7	10621626	10621627	2
chr4	96784360	96784361	2
chr9	110086928	110086929	2
chr20	24144235	24144236	2
chr11	44249902	44249903	2
chr7	21591769	21591770	2
chr6	5109177	5109178	2
chr15	69646040	69646041	2
chr1	32552607	32552608	2
chr6	45551269	45551270	2
chr8	106495851	106495852	2
chr12	38209479	38209480	2
chr22	33244563	33244564	2
chr6	11809199	11809200	2
chr15	38960532	38960533	2
chr11	19235897	19235898	2
chr14	65675760	65675761	2
chr14	82812199	82812200	2
chr21	31541043	31541044	2
chr9	98733326	98733327	2
chr10	105209423	105209424	2
chr1	37696250	37696251	2
chr20	4774316	4774317	2
chr7	6774632	6774633	2
chr4	168138975	168138976	2
chr9	124445845	124445846	2
chr11	26609314	26609315	2
chr3	175666906	175666907	2
chr12	42465570	42465571	2
chr19	37912368	37912369	2
chr12	81367692	81367693	2
chr8	101931886	101931887	2
chr3	108259607	108259608	2
chr22	25764574	25764575	2
chr7	28609579	28609580	2
chr8	109340389	109340390	2
chr22	23083855	23083856	2
chr3	161321733	161321734	2
chr3	109714252	109714253	2
chr17	40772979	40772980	2
chr7	16448212	16448213	2
chr14	58986908	58986909	2
chr1	56402302	56402303	2
chr18	45027314	45027315	2
chr3	188976570	188976571	2
chr9	126193503	126193504	2
chr17	48363890	48363891	2
chr5	102661243	102661244	2
chr1	53980065	53980066	2
chr2	227793057	227793058	2
chr21	25591924	25591925	2
chr12	71683103	71683104	2
chr16	71248698	71248699	2
chr20	13820766	13820767	2
chr5	138292860	138292861	2
chr6	29454517	29454518	2
chr3	159309471	159309472	2
chr1	94058274	94058275	2
chr10	103566025	103566026	2
chr8	90745662	90745663	2
chr3	122666301	122666302	2
chr5	114895237	114895238	2
chr9	130159882	130159883	2
chr11	3007872	3007873	2
chr20	21678665	21678666	2
chr9	120630494	120630495	2
chr19	49782761	49782762	2
chr14	84859576	84859577	2
chr16	47636579	47636580	2
chr21	15050477	15050478	2
chr6	51627366	51627367	2
chr13	20736522	20736523	2
chr7	44929582	44929583	2
chr12	56868294	56868295	2
chr12	78477844	78477845	2
chr5	137333254	137333255	2
chr13	48615297	48615298	2
chr4	144238838	144238839	2
chr5	107608729	107608730	2
chr2	152010854	152010855	2
chr21	23204226	23204227	2
chr15	44072980	44072981	2
chr7	36909556	36909557	2
chr20	20526428	20526429	2
chr2	176496688	176496689	2
chr22	47910065	47910066	2
chr6	16132927	16132928	2
chr3	130686423	130686424	2
chr18	30886622	30886623	2
chr17	36197313	36197314	2
chr17	53887020	53887021	2
chr8	92406952	92406953	2
chr5	108503913	108503914	2
chr7	40619831	40619832	2
chr7	39754848	39754849	2
chr14	70977206	70977207	2
chr18	30736515	30736516	2
chr16	67672720	67672721	2
chr17	53579166	53579167	2
chr1	99913562	99913563	2
chr21	21088083	21088084	2
chr15	77203497	77203498	2
chr16	54928792	54928793	2
chr19	40442004	40442005	2
chr8	134771595	134771596	2
chr20	6328514	6328515	2
chr16	46424089	46424090	2
chr8	121134199	121134200	2
chr21	22300376	22300377	2
chr1	37706109	37706110	2
chr20	10196317	10196318	2
chr18	25763709	25763710	2
chr11	23353688	23353689	2
chr3	164992092	164992093	2
chr22	49464549	49464550	2
chr3	96783460	96783461	2
chr1	44052209	44052210	2
chr2	198986929	198986930	2
chr10	98993674	98993675	2
chr2	233151574	233151575	2
chr15	66687341	66687342	2
chr9	127981437	127981438	2
chr4	125500782	125500783	2
chr12	96558751	96558752	2
chr19	30631453	30631454	2
chr8	127548124	127548125	2
chr19	36549079	36549080	2
chr19	57118767	57118768	2
chr21	31204329	31204330	2
chr6	37428037	37428038	2
chr6	14808700	14808701	2
chr13	21143829	21143830	2
chr18	41493424	41493425	2
chr19	30706854	30706855	2
chr2	223252812	223252813	2
chr20	6321762	6321763	2
chr10	87830810	87830811	2
chr8	134178316	134178317	2
chr11	50718186	50718187	2
chr11	33454534	33454535	2
chr17	46083128	46083129	2
chr9	130934620	130934621	2
chr8	121361161	121361162	2
chr1	96297607	96297608	2
chr10	92474028	92474029	2
chr20	67773	67774	2
chr4	160527403	160527404	2
chr2	229141378	229141379	2
chr4	150326270	150326271	2
chr9	130487987	130487988	2
